"【改制後】縣市重要統計指標 依 指標, 期間 與 縣市"

" "," "," 總計"," 臺灣地區"," 新北市"," 臺北市"," 桃園市"," 臺中市"," 臺南市"," 高雄市"," 宜蘭縣"," 新竹縣"," 苗栗縣"," 彰化縣"," 南投縣"," 雲林縣"," 嘉義縣"," 屏東縣"," 臺東縣"," 花蓮縣"," 澎湖縣"," 基隆市"," 新竹市"," 嘉義市"," 金門縣"," 連江縣"
" ","2008",779161.95,766549.64,91052.40,153864.93,44340.80,74807.12,55144.94,90495.44,16699.64,17059.18,20967.51,29517.36,21956.75,23352.00,22596.52,30942.03,11946.18,15547.18,7282.66,14207.38,14536.43,10233.18,10184.43,2427.88
" ","2009",781577.97,768472.23,88948.91,145751.38,45895.36,68585.49,53554.35,102296.61,17067.42,18211.05,18790.67,33622.88,23745.93,26603.72,20823.53,27638.05,11541.98,14367.26,7000.91,17583.48,14757.21,11686.04,10512.93,2592.81
" ","2010",837506.57,822766.27,90550.95,169071.39,47726.14,76442.05,58795.48,102549.54,17509.77,19929.41,21564.92,33478.54,23877.58,21297.75,26037.99,34618.83,15831.35,14553.94,7427.44,15760.58,14463.57,11279.03,11971.33,2768.97
" ","2011",939329.11,923718.36,142802.93,164128.48,58054.05,90996.29,71620.68,112839.00,20385.27,22772.58,21755.83,33572.17,21963.25,24608.45,21624.30,34412.14,13951.29,16185.08,7926.93,16968.51,15653.93,11497.19,12264.73,3346.02
" ","2012",934503.48,917959.23,134677.73,161070.92,62480.60,95161.34,77617.06,103810.35,19957.16,22658.74,22235.66,36248.00,21555.70,24008.85,21093.25,32368.45,13530.32,17513.60,7964.16,16481.50,16841.01,10684.84,13475.28,3068.97
" ","2013",950184.48,933654.12,137198.96,160144.41,61260.83,102493.83,73487.40,112068.72,20515.26,20656.41,22351.36,37560.77,22871.52,24794.74,21661.79,31354.97,13547.68,17830.92,8472.30,16768.53,17206.25,11407.47,13216.48,3313.86
" ","2014",981755.10,966331.41,142571.74,188724.22,56716.72,99916.97,71582.56,116362.37,19458.45,22078.30,22394.37,39906.51,23820.22,26040.90,21511.12,31848.99,13773.88,16951.27,7957.56,16673.71,16912.96,11128.59,12370.21,3053.48
" 平均每人每年可支配所得"
" ","1998",...,231611,227468,331341,238753,230959,201188,226060,194901,217900,181714,189654,187981,195769,176055,196415,171931,213324,163309,219775,256029,249562,217679,...
" ","1999",...,244918,239971,336651,250478,250930,216577,235739,232872,233956,204676,193149,227798,212760,178563,215245,168943,209142,186268,242730,261256,246550,179786,...
" ","2000",...,246256,251463,338190,253976,229329,213872,240072,221787,247438,201061,187578,196614,221841,205662,222350,202942,226182,228628,250981,288539,233729,205921,328187
" ","2001",...,242640,244860,339257,240443,234219,206799,239295,203902,245392,195312,185972,195501,224627,189221,201698,201609,227028,202567,221628,304372,226393,205390,329709
" ","2002",...,239978,244558,357214,251277,223221,207345,228276,198736,227123,197581,191680,183699,200586,172609,226036,199789,200976,203920,204576,278438,237469,222384,290147
" ","2003",...,249763,256421,365696,248638,237919,228743,237473,210583,233273,199542,206599,191984,200478,180628,230308,215204,220776,189693,211050,301189,220629,196466,311023
" ","2004",...,254643,258607,380465,260039,224186,221943,249822,207785,240242,202884,206502,220406,200515,193479,219940,203125,236692,229485,253161,328112,223909,240873,295296
" ","2005",...,261571,266157,392385,264219,232364,228204,259971,239789,257502,208364,205210,206194,209930,212213,222551,209626,228532,212297,247921,289002,247078,240855,296153
" ","2006",...,267769,283576,377966,265209,246337,232722,259567,227852,244340,243413,214573,231041,229462,210027,222534,214753,256628,239282,242998,333697,245611,209767,310769
" ","2007",...,273336,262347,389064,282757,261426,245010,279512,226849,242715,234813,213289,202299,219774,204771,250350,250159,247331,215539,263625,367087,240144,238767,319785
" ","2008",...,272742,285062,386340,271965,244880,243987,268912,258516,284478,219287,206670,212894,217561,228268,223284,196147,227134,244150,261760,330721,247958,242540,313552
" ","2009",...,265750,265141,387053,268841,238208,235001,265920,239955,274737,213792,210870,228450,207073,217976,225212,227057,223026,233616,265588,323029,241774,256985,314845
" ","2010",...,273647,273351,402056,272470,241598,234401,279919,249995,282953,230692,212335,228920,204811,216608,223022,222905,251270,287265,273157,335580,250342,244550,366533
" ","2011",...,275984,279239,381561,273295,265316,245524,270996,227574,304977,233604,218099,214423,225436,236381,235938,223482,270372,235343,265936,334118,245468,268720,348707
" ","2012",...,285939,278023,398217,287727,271157,242163,283843,271346,305546,245261,237947,250539,232985,265233,235953,247239,276949,259663,269329,344261,299540,276067,317002
" ","2013",...,293523,284783,408688,288668,282352,261153,295244,266844,314004,259072,235744,243951,245405,236947,232187,266295,271606,273034,290287,361153,311947,309813,344406
" ","2014",...,303762,291591,412973,314701,303365,266012,300872,284733,317748,269461,236695,258273,256153,241131,246320,270364,271001,293299,287145,370714,322686,292576,340562

"-------------------------- "
"指標項：性比例(女=100) "
"定義：男性人口對女性人口的比例，即每百女子所當男子數。 "
"公式：(男性人口／女性人口)*100 "
"-------------------------- "
"指標項：遷入人口數(人) "
"定義：戶籍遷入登記人口數（不含住址變更之遷入人數)。 "
"-------------------------- "
"指標項：人口密度(人／平方公里) "
"定義：平均每一平方公里之人口數。 "
"公式：(戶籍登記人口數／土地面積) "
"-------------------------- "
"指標項：勞動力參與率(％) "
"定義：係指勞動力占十五歲以上民間人口之百分比。勞動力係指年滿十五歲可?"
"H "
"       工作之民間人口，包括就業者及失業者。 "
"公式：（勞動力人口數／十五歲以上民間人口數）＊100 "
"註記：自91年起金門縣於每年5月及11月各辦理1次人力資源抽樣調查；連江縣 "
"       於每年9月辦理1次普查。 "
"-------------------------- "
"指標項：失業率(％) "
"定義：指失業人口占勞動力之百分比。失業者指在資料標準週內年滿十五歲同?"
"?"
"       "
